aadb250f-22c7-4e7a-bce5-ad15d2fe0689	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	subtitle-translation	자막 번역	subtitle-translation	2025-11-05 08:37:07.242+00	2025-11-05
db607331-b796-4558-8e29-19811178e203	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	marketing	마케팅	marketing	2025-11-05 08:43:49.642+00	2025-11-05
7acc7e2b-89cd-4860-9646-c7ff8af5f79d	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	keyword-search-ads	키워드·검색 광고	keyword-search-ads	2025-11-05 08:45:32.144+00	2025-11-05
0fc44029-d150-40d0-a022-d1be9b4533da	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	627d61ca-ab27-4ad2-b30c-cb95c0b7bf3e	에어컨 세척	aircon-cleaning	2025-11-05 08:47:24.691+00	2025-11-05
2a9c51da-8718-4dc4-952b-0dba23fdacb3	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	ai-services	AI 서비스	ai-services	2025-11-05 09:18:05.476+00	2025-11-05
abc39fb1-e819-444b-a3cd-b86c9551062a	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	homepage-new-creation	홈페이지 신규 제작	homepage-new-creation	2025-11-11 10:19:54.57+00	\N
c016176f-8174-4db0-9b06-7994d59870c6	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	gnuboard	그누보드	gnuboard	2025-11-11 10:20:03.331+00	\N
7dbb9a36-df25-4277-994e-e287a52a737c	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	d11ee65e-58ae-457d-9f73-449649e9d338	모바일	mobile	2025-12-03 05:31:18.588+00	\N
1f8cdcc0-df96-4cd5-a96a-0db83a4b60d8	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	business	비즈니스	business	2025-11-11 10:20:20.208+00	\N
814d94ab-2ce3-4a8d-8b60-e5ffe9b6bf09	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	video-photo	영상/사진	video-photo	2025-11-11 10:20:23.025+00	\N
a307b5a2-d172-4de9-aeeb-7631bdccb7db	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	shopping-mall-new-creation	쇼핑몰 신규 제작	shopping-mall-new-creation	2025-11-05 15:52:08.222+00	2025-11-05
4b5d5c6e-f418-402b-942a-430289ab6423	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	design	디자인	design	2025-11-11 10:20:25.638+00	\N
f8279cbf-1315-4d48-b645-284edfa702ba	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	it-programming	IT/프로그래밍	it-programming	2025-11-11 23:41:05.063+00	\N
f03a69bc-e859-4a23-bd38-bc2c9cc3d0f8	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	rhymix	라이믹스	rhymix	2025-11-05 15:52:25.116+00	2025-11-05
9b84db86-2e8f-4f31-aaa4-4907f6e8a3b7	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	7d3bb704-46fd-461b-bb60-8b4d1db7fc73	헤어 스타일링	hair-styling	2025-12-03 07:08:47.245+00	\N
28108d60-0162-4d9d-b931-e12f05be9e1d	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	landing-page	랜딩페이지	landing-page	2025-11-05 15:53:24.978+00	2025-11-05
b004dbb5-37f7-4943-8530-ffde073f7c06	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	056821a4-7fe9-4d5d-af75-05e9829bef3a	심부름	errands	2025-11-05 15:55:03.507+00	2025-11-05
fe2e91da-d250-4083-8f9d-59fb5a15651d	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	bc157df9-55fa-43c8-aa19-87278dde63e0	장보기	grocery-shopping	2025-11-05 15:55:11.091+00	2025-11-05
89f56768-f0c9-4a38-92bb-778aae5a3232	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	gnuboard	그누보드	gnuboard	2025-11-05 15:59:44.5+00	2025-11-05
b8399506-9fce-4384-bdd3-7d478bd62b51	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	video-photo	영상/사진	video-photo	2025-11-05 16:04:28.274+00	2025-11-05
27b54a11-4b19-43fb-9b5e-e8dc8a70cad8	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	logo-design	로고 디자인	logo-design	2025-11-06 03:21:38.847+00	2025-11-06
f0f2a9e8-bbf8-4339-82df-7bfc3a2fdef6	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	ai-services	AI 서비스	ai-services	2025-11-08 08:20:50.133+00	\N
e3dc88a3-e025-4791-85d8-2f01f80d50b8	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	it-programming	IT/프로그래밍	it-programming	2025-11-08 08:40:17.587+00	\N
a70e7f7f-c88d-4d44-8ccc-4253bceac38f	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	gnuboard	그누보드	gnuboard	2025-11-08 08:40:26.699+00	\N
678f9b6e-c890-4cfd-829d-36849e8679e3	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	ff76588a-63b3-488a-98eb-dda3568db318	AI 광고 영상	ai-ad-video	2025-11-11 11:13:43.754+00	\N
c2bdaf7f-0337-481e-8d12-5dd49d199c54	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	f69e5e99-6797-411b-9b43-bc1e1252e754	AI 일러스트	ai-illustration	2025-11-11 11:13:55.218+00	\N
bc3db8f8-6083-4f76-a864-cac5f4919278	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	bc157df9-55fa-43c8-aa19-87278dde63e0	장보기	grocery-shopping	2025-11-11 11:14:13.192+00	\N
bae59070-f312-4129-90e3-457c1db6ef61	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	design	디자인	design	2025-11-12 06:48:06.156+00	\N
6120478f-afff-46ab-b801-c09b41e079fd	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	fortune-tarot	운세/타로	fortune-tarot	2025-11-09 14:03:23.903+00	\N
38fa0a2d-d593-4caf-bc00-daa763c064e7	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	design	디자인	design	2025-11-10 11:00:27.754+00	\N
051d6911-6140-4740-9f1e-497284776563	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	ai-services	AI 서비스	ai-services	2025-11-10 11:02:42.399+00	\N
8910de18-73f3-416c-aad6-a12a4abc90a1	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	homepage-new-creation	홈페이지 신규 제작	homepage-new-creation	2025-11-10 11:02:50.789+00	\N
28faa6e9-f83b-4c15-be5b-fcd7d6f971ea	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	gnuboard	그누보드	gnuboard	2025-11-10 11:03:04.198+00	\N
cdfefaa0-8d5f-4fc3-8b98-bd9de7b7afba	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	it-programming	IT/프로그래밍	it-programming	2025-11-10 11:04:23.682+00	\N
33f5d5fe-9d16-441d-8ddc-e4427a18308b	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	rhymix	라이믹스	rhymix	2025-11-10 11:04:37.39+00	\N
9c473453-1a7e-4106-a342-5afe74af30f0	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	rhymix	라이믹스	rhymix	2025-11-11 00:11:39.605+00	\N
81be9963-5e64-4e01-9735-db460dd7edce	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	ai-services	AI 서비스	ai-services	2025-11-11 00:39:21.569+00	\N
0e910815-5aba-434d-8bb6-6334dc16c8dc	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	560825ff-712f-4396-82e1-357c4aa16b06	AI 광고소재 디자인	ai-ad-material-design	2025-11-11 01:22:30.524+00	\N
02a72c90-75db-4007-9847-df90135cc32f	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	logo-design	로고 디자인	logo-design	2025-11-12 03:01:25.473+00	\N
8efb4a31-94e0-4976-9cc3-a427ef984cea	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	brand-design-guide	브랜드 디자인·가이드	brand-design-guide	2025-11-12 03:01:27.235+00	\N
d2660e84-c452-4f36-94c1-d965f524089f	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	rhymix	라이믹스	rhymix	2025-11-16 12:07:57.238+00	\N
6ad75b92-7e5a-4580-9d08-a8bbe6562290	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	it-programming	IT/프로그래밍	it-programming	2025-11-16 18:09:11.185+00	\N
5f4a5611-fccb-4fc9-9955-1ae26f07f200	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	fda9edea-f48d-46d7-8d5f-58dcb3106529	AI 교육	ai-education-new	2025-11-15 11:11:08.941+00	\N
11aee6c5-567e-4a1f-a5fe-53990c6d1a0e	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	6e3313f2-e203-497d-8a38-00df96bb62a9	음악/영상 프롬프트	music-video-prompt	2025-11-15 11:11:12.697+00	\N
3aa64117-4f5a-46d1-b895-8e56892e968a	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	174077b6-ad1a-4981-affc-f059ede9b58f	AI 모델링 최적화	ai-modeling-optimization	2025-11-15 11:11:15.862+00	\N
373de9f5-1bd6-45bc-86f1-3c80c847e23b	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	ff76588a-63b3-488a-98eb-dda3568db318	AI 광고 영상	ai-ad-video	2025-11-15 11:11:19.28+00	\N
48dce58a-6b1e-4c7f-b672-feec3b5ea9cb	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	ea4a1048-8625-45cd-afb9-bd6024fdc8b6	AI 실사·모델	ai-realistic-model	2025-11-15 11:11:22.629+00	\N
53b23ab3-8026-465c-aa3b-4ce4f9d24783	f1ea6d0b-c373-427a-b8ed-9f2e4c0e87f1	music-audio	음악/오디오	music-audio	2025-11-18 19:03:56.547+00	\N
4c9e043e-c1da-4b12-a871-1a8c1c59a60f	ccf26cba-d1d5-4aae-b5d9-0fe85449f086	560825ff-712f-4396-82e1-357c4aa16b06	AI 광고소재 디자인	ai-ad-material-design	2025-11-15 11:11:30.795+00	\N
